iter	Passed	Remaining
400	33895	8368
401	34042	8298
402	34197	8231
403	34347	8161
404	34504	8093
405	34646	8021
406	34771	7945
407	34868	7862
408	34996	7786
409	35126	7710
410	35270	7637
411	35419	7565
412	35522	7482
413	35627	7400
414	35775	7327
415	35924	7253
416	36071	7179
417	36207	7102
418	36349	7026
419	36499	6952
420	36645	6876
421	36797	6801
422	36942	6724
423	37095	6649
424	37240	6571
425	37392	6495
426	37543	6418
427	37666	6336
428	37812	6257
429	37948	6177
430	38102	6099
431	38256	6021
432	38392	5940
433	38511	5856
434	38673	5778
435	38819	5698
436	38965	5617
437	39114	5536
438	39269	5456
439	39412	5374
440	39542	5290
441	39696	5208
442	39857	5128
443	40028	5048
444	40174	4965
445	40320	4881
446	40443	4795
447	40578	4709
448	40724	4625
449	40875	4541
450	41016	4456
451	41141	4369
452	41245	4279
453	41390	4193
454	41542	4108
455	41690	4022
456	41814	3934
457	41962	3848
458	42111	3761
459	42257	3674
460	42400	3587
461	42553	3500
462	42708	3412
463	42841	3323
464	43019	3238
465	43179	3150
466	43329	3061
467	43459	2971
468	43599	2881
469	43761	2793
470	43916	2703
471	44048	2613
472	44195	2522
473	44353	2432
474	44525	2343
475	44753	2256
476	44920	2165
477	45036	2072
478	45188	1981
479	45350	1889
480	45500	1797
481	45653	1704
482	45808	1612
483	45964	1519
484	46123	1426
485	46271	1332
486	46418	1239
487	46564	1145
488	46710	1050
489	46866	956
490	47033	862
491	47191	767
492	47339	672
493	47491	576
494	47640	481
495	47794	385
496	47942	289
497	48088	193
498	48238	96
499	48385	0
