iter	RMSE
171	8.368293763
172	8.365379114
173	8.364178108
174	8.36229919
175	8.36166976
176	8.35488352
177	8.35235364
178	8.3500258
179	8.349402984
180	8.347859097
181	8.345569314
182	8.341609229
183	8.339509469
184	8.337859002
185	8.335177935
186	8.330886175
187	8.328264486
188	8.326947245
189	8.325906334
190	8.323840069
191	8.322712767
192	8.320783273
193	8.319232687
194	8.314547002
195	8.312599824
196	8.309899537
197	8.308509308
198	8.306516661
199	8.305645922
200	8.301994442
201	8.299876717
202	8.298255695
203	8.297020394
204	8.295856894
205	8.294395726
206	8.293703334
207	8.291560664
208	8.290342246
209	8.288606717
210	8.286527354
211	8.285111509
212	8.282159868
213	8.278879788
214	8.276668392
215	8.275533651
216	8.274571274
217	8.272833774
218	8.271784087
219	8.27020733
220	8.268744139
221	8.26730227
222	8.265474723
223	8.264475197
224	8.263172247
225	8.261530076
226	8.257076759
227	8.254915261
228	8.24946563
229	8.248722582
230	8.245914013
231	8.244668989
232	8.243086377
233	8.242469684
234	8.24217019
235	8.24053967
236	8.238074123
237	8.237467805
238	8.233297389
239	8.231311673
240	8.230599104
241	8.229131301
242	8.227240729
243	8.223565538
244	8.221848618
245	8.218595448
246	8.216189841
247	8.212769177
248	8.212469268
249	8.210122304
250	8.208884375
251	8.2058246
252	8.203725218
253	8.200841449
254	8.199035048
255	8.196330692
256	8.194538154
257	8.192953719
258	8.192402135
259	8.188374321
260	8.186558788
261	8.186177344
262	8.182620656
263	8.178503871
264	8.175059941
265	8.173809578
266	8.171854771
267	8.171348458
268	8.16871369
269	8.167087189
270	8.166576446
271	8.165150407
272	8.164959344
273	8.164621133
274	8.163281935
275	8.162513342
276	8.161442214
277	8.159971369
278	8.155727941
279	8.154890623
280	8.151738449
281	8.149608024
282	8.145985249
283	8.14394272
284	8.143336811
285	8.142958882
286	8.139246322
287	8.138669301
288	8.137604753
289	8.135449535
290	8.133885744
291	8.13235299
292	8.131764536
293	8.130794813
294	8.130246925
295	8.126430318
296	8.12587086
297	8.124409507
298	8.123095096
299	8.121812231
300	8.121012288
301	8.120822365
302	8.116332699
303	8.115941006
304	8.115344221
305	8.112603833
306	8.109460442
307	8.109008508
308	8.108540486
309	8.106744588
310	8.106309432
311	8.104317496
312	8.10269493
313	8.100239653
314	8.097798246
315	8.096667998
316	8.093860005
317	8.090316179
318	8.087653408
319	8.085659173
320	8.084106011
321	8.083705795
322	8.081665282
323	8.079386112
324	8.078104558
325	8.073896227
326	8.073037498
327	8.068943898
328	8.065565599
329	8.063324761
330	8.061013893
331	8.058361135
332	8.057195928
333	8.055452584
334	8.052157248
335	8.04960368
336	8.047068649
337	8.045021574
338	8.043014044
339	8.041943101
340	8.041526444
341	8.040092824
342	8.038108595
343	8.035236639
344	8.034886391
345	8.0314423
346	8.030597047
347	8.029234109
348	8.026524188
349	8.024323851
350	8.022059252
351	8.018363453
352	8.018101549
353	8.016442303
354	8.013283461
355	8.012066511
356	8.010366059
357	8.010136075
358	8.009302755
359	8.009005435
360	8.007848562
361	8.005066444
362	8.003546506
363	8.001634302
364	8.000366221
365	7.998202748
366	7.996719815
367	7.992621169
368	7.991030491
369	7.990827895
370	7.989603707
371	7.983777639
372	7.982353777
373	7.981513088
374	7.97899909
375	7.976832178
376	7.975524135
377	7.97368793
378	7.972842432
379	7.97184801
380	7.96987151
381	7.966759593
382	7.966190109
383	7.964382842
384	7.963190097
385	7.961319741
386	7.960081011
387	7.959376632
388	7.959204342
389	7.95812426
390	7.957624743
391	7.95598586
392	7.955399193
393	7.953946774
394	7.95086847
395	7.947816821
396	7.946245282
397	7.944281061
398	7.941973786
399	7.941734767
400	7.940578806
401	7.93874412
402	7.93812545
403	7.936321081
404	7.935318432
405	7.933633933
406	7.932277424
407	7.931033014
408	7.930202755
409	7.928022123
410	7.92620966
411	7.923894899
412	7.921557519
413	7.920477898
414	7.919288969
415	7.917956038
416	7.916426502
417	7.916205772
418	7.914243272
419	7.912318246
420	7.909462622
421	7.906939285
422	7.905125019
423	7.904582549
424	7.901367997
425	7.899490421
426	7.897397558
427	7.894282354
428	7.89339892
429	7.8910528
430	7.8882018
431	7.885630256
432	7.883718656
433	7.883244767
434	7.882043726
435	7.880943131
436	7.878880032
437	7.877764507
438	7.876778634
439	7.87567123
440	7.874862931
441	7.872108675
442	7.86953915
443	7.866539138
444	7.865321187
445	7.862156363
446	7.862059741
447	7.86060693
448	7.858860994
449	7.85738244
450	7.854346028
451	7.853810081
452	7.852927
453	7.851233896
454	7.850031886
455	7.849725842
456	7.848813297
457	7.846474052
458	7.842220716
459	7.84135566
460	7.83918211
461	7.83707097
462	7.834965035
463	7.833677167
464	7.831752691
465	7.830844149
466	7.829404589
467	7.8282713
468	7.826122279
469	7.82527517
470	7.822815475
471	7.821152992
472	7.819871779
473	7.819680962
474	7.818140207
475	7.814907122
476	7.813551228
477	7.811930884
478	7.809961637
479	7.807508687
480	7.805909584
481	7.804788606
482	7.802847048
483	7.801736698
484	7.8004064
485	7.80021114
486	7.796770119
487	7.796214329
488	7.794260157
489	7.793049517
490	7.791507957
491	7.790139198
492	7.787729182
493	7.786975037
494	7.785102274
495	7.78382903
496	7.782569933
497	7.781868532
498	7.780752347
499	7.780129658
